Net Status Report
Filename     : C:\Users\040602\Desktop\PRJ-US1SBC (11-13-2018 2-40-42 PM)_1\PWB-US1SBC.PcbDoc
Date         : 3/20/2019
Time         : 2:32:15 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    NetJ6_4, Signal Layers Only, 39.222mils
    NetJ6_6, Signal Layers Only, 91.281mils
    NetJT2_2, Signal Layers Only, 184.497mils
    NetJT5_3, Signal Layers Only, 212.435mils
    NetJT6_2, Signal Layers Only, 113.133mils
    NetNT11_2, Signal Layers Only, 35.971mils
    NetNT12_2, Signal Layers Only, 34mils
    NetNT13_2, Signal Layers Only, 40.148mils
    NetNT7_1, Signal Layers Only, 0mils
    NetR102_2, Signal Layers Only, 151.443mils
    NetR112_2, Signal Layers Only, 161.197mils
    NetR115_1, Signal Layers Only, 665.858mils
    NetR119_2, Signal Layers Only, 74.357mils
    NetR120_1, Signal Layers Only, 90.952mils
    NetR123_2, Signal Layers Only, 93.603mils
    NetR124_2, Signal Layers Only, 96.491mils
    NetR130_2, Signal Layers Only, 161.197mils
    NetR135_1, Signal Layers Only, 689.878mils
    NetR137_2, Signal Layers Only, 54.151mils
    NetR138_1, Signal Layers Only, 60.175mils
    NetR140_2, Signal Layers Only, 93.603mils
    NetR141_2, Signal Layers Only, 106.492mils
    NetR146_1, Signal Layers Only, 120.109mils
    NetR148_2, Signal Layers Only, 116.468mils
    NetR149_1, Signal Layers Only, 417.682mils
    NetR151_2, Signal Layers Only, 85.257mils
    NetR153_2, Signal Layers Only, 72.286mils
    NetR154_1, Signal Layers Only, 44.896mils
    NetR155_2, Signal Layers Only, 45.688mils
    NetR156_2, Signal Layers Only, 87.561mils
    NetR157_2, Signal Layers Only, 224.092mils
    NetR158_1, Signal Layers Only, 115.142mils
    NetR159_1, Signal Layers Only, 64.345mils
    NetR160_1, Signal Layers Only, 66.122mils
    NetR161_1, Signal Layers Only, 117.244mils
    NetR162_1, Signal Layers Only, 97.939mils
    NetR164_1, Signal Layers Only, 61.656mils
    NetR165_2, Signal Layers Only, 73.987mils
    NetR166_2, Signal Layers Only, 66.012mils
    NetR170_2, Signal Layers Only, 53.937mils
    NetR171_2, Signal Layers Only, 53.04mils
    NetR172_1, Signal Layers Only, 30.157mils
    NetR174_1, Signal Layers Only, 178.422mils
    NetR175_2, Signal Layers Only, 227.19mils
    NetR177_2, Signal Layers Only, 98.774mils
    NetR178_1, Signal Layers Only, 29.5mils
    NetR180_2, Signal Layers Only, 713.104mils
    NetR181_1, Signal Layers Only, 68.983mils
    NetR182_2, Signal Layers Only, 48.753mils
    NetR183_2, Signal Layers Only, 278.025mils
    NetR185_1, Signal Layers Only, 118.862mils
    NetR18_2, Signal Layers Only, 139.943mils
    NetR196_1, Signal Layers Only, 159.799mils
    NetR19_2, Signal Layers Only, 79.868mils
    NetR1_1, Signal Layers Only, 404.367mils
    NetR22_2, Signal Layers Only, 110.433mils
    NetR23_2, Signal Layers Only, 135.554mils
    NetR24_2, Signal Layers Only, 46.924mils
    NetR25_2, Signal Layers Only, 53.043mils
    NetR26_1, Signal Layers Only, 105.336mils
    NetR27_1, Signal Layers Only, 87.603mils
    NetR28_1, Signal Layers Only, 337.769mils
    NetR2_1, Signal Layers Only, 615.184mils
    NetR30_1, Signal Layers Only, 57.433mils
    NetR31_1, Signal Layers Only, 37.081mils
    NetR32_2, Signal Layers Only, 43.043mils
    NetR33_1, Signal Layers Only, 47.44mils
    NetR34_2, Signal Layers Only, 44.612mils
    NetR35_1, Signal Layers Only, 165.545mils
    NetR3_1, Signal Layers Only, 615.783mils
    NetR4_1, Signal Layers Only, 615.71mils
    NetR5_1, Signal Layers Only, 613.266mils
    NetR61_2, Signal Layers Only, 100.485mils
    NetR62_2, Signal Layers Only, 85.485mils
    NetR69_2, Signal Layers Only, 145.921mils
    NetR6_1, Signal Layers Only, 637.5mils
    NetR72_1, Signal Layers Only, 203.29mils
    NetR75_1, Signal Layers Only, 71.294mils
    NetR90_2, Signal Layers Only, 71.821mils
    NetR91_2, Signal Layers Only, 63.601mils
    NetR92_2, Signal Layers Only, 53.928mils
    NetR95_1, Signal Layers Only, 49mils
    NetR96_2, Signal Layers Only, 126.76mils
    NetR99_1, Signal Layers Only, 345.372mils
    NetTP10_1, Signal Layers Only, 62.786mils
    NetTP11_1, Signal Layers Only, 99.241mils
    NetTP12_1, Signal Layers Only, 108.164mils
    NetTP13_1, Signal Layers Only, 62.548mils
    NetTP14_1, Signal Layers Only, 60.839mils
    NetTP15_1, Signal Layers Only, 62.047mils
    NetTP16_1, Signal Layers Only, 62.704mils
    NetTP17_1, Signal Layers Only, 62.303mils
    NetTP18_1, Signal Layers Only, 114.159mils
    NetTP19_1, Signal Layers Only, 123.083mils
    NetTP20_1, Signal Layers Only, 155.14mils
    NetTP21_1, Signal Layers Only, 161.643mils
    NetTP23_1, Signal Layers Only, 76.299mils
    NetTP32_1, Signal Layers Only, 93.083mils
    NetTP33_1, Signal Layers Only, 63.295mils
    NetU9_2, Signal Layers Only, 1223.208mils
    NetU9_4, Signal Layers Only, 1325.345mils
    PDE, Signal Layers Only, 682.431mils
    PGND, Signal Layers Only, 116.544mils
    PMBUS_SCL, Signal Layers Only, 3643.475mils
    PMBUS_SDA, Signal Layers Only, 3652.298mils
    PMIC_SCL, Signal Layers Only, 965.841mils
    PMIC_SDA, Signal Layers Only, 915.662mils
    POWER_GOOD, Signal Layers Only, 6497.659mils
    PS_DDR_CAA0, Signal Layers Only, 1217.127mils
    PS_DDR_CAA1, Signal Layers Only, 1261.424mils
    PS_DDR_CAA2, Signal Layers Only, 1231.949mils
    PS_DDR_CAA3, Signal Layers Only, 1240.886mils
    PS_DDR_CAA4, Signal Layers Only, 1200.561mils
    PS_DDR_CAA5, Signal Layers Only, 1212.619mils
    PS_DDR_CAB0, Signal Layers Only, 1234.117mils
    PS_DDR_CAB1, Signal Layers Only, 1224.717mils
    PS_DDR_CAB2, Signal Layers Only, 1275.262mils
    PS_DDR_CAB3, Signal Layers Only, 1250.395mils
    PS_DDR_CAB4, Signal Layers Only, 1295.529mils
    PS_DDR_CAB5, Signal Layers Only, 1305.219mils
    PS_DDR_CKA_C, Signal Layers Only, 1296.345mils
    PS_DDR_CKA_T, Signal Layers Only, 1294.436mils
    PS_DDR_CKB_C, Signal Layers Only, 1295.891mils
    PS_DDR_CKB_T, Signal Layers Only, 1296.455mils
    PS_DDR_CKE0, Signal Layers Only, 1575.629mils
    PS_DDR_CKE1, Signal Layers Only, 1292.221mils
    PS_DDR_CS0_N, Signal Layers Only, 1601.573mils
    PS_DDR_CS1_N, Signal Layers Only, 1664.578mils
    PS_DDR_DMA0, Signal Layers Only, 822.318mils
    PS_DDR_DMA1, Signal Layers Only, 782.138mils
    PS_DDR_DMB0, Signal Layers Only, 1321.297mils
    PS_DDR_DMB1, Signal Layers Only, 1325.551mils
    PS_DDR_DQ0, Signal Layers Only, 918.311mils
    PS_DDR_DQ1, Signal Layers Only, 960.344mils
    PS_DDR_DQ10, Signal Layers Only, 816.283mils
    PS_DDR_DQ11, Signal Layers Only, 802.751mils
    PS_DDR_DQ12, Signal Layers Only, 849.98mils
    PS_DDR_DQ13, Signal Layers Only, 847.161mils
    PS_DDR_DQ14, Signal Layers Only, 888.779mils
    PS_DDR_DQ15, Signal Layers Only, 807.295mils
    PS_DDR_DQ16, Signal Layers Only, 1236.654mils
    PS_DDR_DQ17, Signal Layers Only, 1215.053mils
    PS_DDR_DQ18, Signal Layers Only, 1221.292mils
    PS_DDR_DQ19, Signal Layers Only, 1323.623mils
    PS_DDR_DQ2, Signal Layers Only, 906.031mils
    PS_DDR_DQ20, Signal Layers Only, 1211.003mils
    PS_DDR_DQ21, Signal Layers Only, 1354.345mils
    PS_DDR_DQ22, Signal Layers Only, 1361.894mils
    PS_DDR_DQ23, Signal Layers Only, 1378.325mils
    PS_DDR_DQ24, Signal Layers Only, 1348.866mils
    PS_DDR_DQ25, Signal Layers Only, 1385.684mils
    PS_DDR_DQ26, Signal Layers Only, 1338.467mils
    PS_DDR_DQ27, Signal Layers Only, 1315.549mils
    PS_DDR_DQ28, Signal Layers Only, 1407.101mils
    PS_DDR_DQ29, Signal Layers Only, 1420.458mils
    PS_DDR_DQ3, Signal Layers Only, 982.486mils
    PS_DDR_DQ30, Signal Layers Only, 1372.699mils
    PS_DDR_DQ31, Signal Layers Only, 1434.933mils
    PS_DDR_DQ4, Signal Layers Only, 853.495mils
    PS_DDR_DQ5, Signal Layers Only, 892.72mils
    PS_DDR_DQ6, Signal Layers Only, 817.601mils
    PS_DDR_DQ7, Signal Layers Only, 838.266mils
    PS_DDR_DQ8, Signal Layers Only, 816.827mils
    PS_DDR_DQ9, Signal Layers Only, 840.746mils
    PS_DDR_DQSA0_C, Signal Layers Only, 917.005mils
    PS_DDR_DQSA0_T, Signal Layers Only, 919.228mils
    PS_DDR_DQSA1_C, Signal Layers Only, 833.366mils
    PS_DDR_DQSA1_T, Signal Layers Only, 842.596mils
    PS_DDR_DQSB0_C, Signal Layers Only, 1284.252mils
    PS_DDR_DQSB0_T, Signal Layers Only, 1286.854mils
    PS_DDR_DQSB1_C, Signal Layers Only, 1351.988mils
    PS_DDR_DQSB1_T, Signal Layers Only, 1350.211mils
    PS_DDR_RST_N, Signal Layers Only, 1703.728mils
    PS_DONE, Signal Layers Only, 1296.966mils
    PS_ERR_OUT, Signal Layers Only, 449.57mils
    PS_ERR_STAT, Signal Layers Only, 389.597mils
    PS_INIT_N, Signal Layers Only, 1572.505mils
    PS_MODE0, Signal Layers Only, 1842.207mils
    PS_MODE1, Signal Layers Only, 2098.606mils
    PS_MODE2, Signal Layers Only, 1552.667mils
    PS_MODE3, Signal Layers Only, 490.919mils
    PS_PAD_IN, Signal Layers Only, 531.596mils
    PS_PAD_OUT, Signal Layers Only, 540.668mils
    PS_POR_N, Signal Layers Only, 3180.047mils
    PS_PROG_N, Signal Layers Only, 320.562mils
    PS_REF_CLK, Signal Layers Only, 2283.612mils
    PS_SRST_N, Signal Layers Only, 865.209mils
    PUDC_B, Signal Layers Only, 544.789mils
    PWR_PB_N, Signal Layers Only, 3326.169mils
    RADIO_CLK, Signal Layers Only, 74.895mils
    RADIO_LED0, Signal Layers Only, 2033.856mils
    RADIO_LED1, Signal Layers Only, 1898.537mils
    SEL0, Signal Layers Only, 150.862mils
    SEL1, Signal Layers Only, 138.921mils
    SH_GND1, Signal Layers Only, 1011.967mils
    SH_GND2, Signal Layers Only, 2087.79mils
    SH_GND5, Signal Layers Only, 98.566mils
    SYSMON_VR_N, Signal Layers Only, 717.172mils
    SYSMON_VR_P, Signal Layers Only, 716.656mils
    U26M_N, Signal Layers Only, 329.864mils
    U26M_P, Signal Layers Only, 329.797mils
    U27M_N, Signal Layers Only, 461.664mils
    U27M_P, Signal Layers Only, 458.657mils
